county,coordinates,state
Morehouse,"(32.796224, -91.7538817)",Louisiana
Union,"(32.7859102, -92.38136209999999)",Louisiana
Winn,"(31.91961239999999, -92.6586401)",Louisiana
East Feliciana,"(30.8458948, -91.02032240000001)",Louisiana
LaSalle,"(31.7002461, -92.2236667)",Louisiana
Madison,"(32.4401578, -91.28910359999999)",Louisiana
Pointe Coupee,"(30.6102166, -91.5983959)",Louisiana
Vermilion,"(29.8601413, -92.38136209999999)",Louisiana
West Feliciana,"(30.8423123, -91.4048249)",Louisiana
East Carroll,"(32.7570923, -91.2506002)",Louisiana
Franklin,"(32.0737103, -91.5983959)",Louisiana
Red River,"(32.0842949, -93.3792057)",Louisiana
Sabine,"(31.4893252, -93.5003454)",Louisiana
Concordia,"(31.4808983, -91.63721500000001)",Louisiana
St. Helena,"(30.8021866, -90.6773046)",Louisiana
Caldwell,"(32.0669717, -92.0665197)",Louisiana
West Carroll,"(32.7545792, -91.4821482)",Louisiana
Cameron,"(29.8434436, -93.17796589999999)",Louisiana
Tensas,"(32.077218, -91.28910359999999)",Louisiana
Bristol,"(41.7257893, -71.3111773)",Rhode Island
Kent,"(41.6579147, -71.7147951)",Rhode Island
Newport,"(41.5016969, -71.2399037)",Rhode Island
Providence,"(41.8881582, -71.4774291)",Rhode Island
Washington,"(41.45681130000001, -71.6673352)",Rhode Island
Androscoggin,"(44.19124160000001, -70.17070369999999)",Maine
Cumberland,"(43.81329789999999, -70.3870587)",Maine
Lincoln,"(44.108282, -69.511031)",Maine
Kennebec,"(44.4499153, -69.7038278)",Maine
Oxford,"(44.4906897, -70.7840564)",Maine
York,"(43.4132697, -70.6702521)",Maine
Penobscot,"(45.3230777, -68.5806727)",Maine
Sagadahoc,"(43.8171265, -69.7825531)",Maine
Knox,"(43.9969995, -68.9242652)",Maine
Waldo,"(44.5106837, -69.20778960000001)",Maine
Franklin,"(45.0386059, -70.3979538)",Maine
Somerset,"(45.5913402, -69.9999212)",Maine
Hancock,"(44.5770308, -68.3566919)",Maine
Aroostook,"(46.819941, -68.4766064)",Maine
Washington,"(44.98493149999999, -67.6776835)",Maine
Piscataquis,"(45.70498569999999, -69.3375071)",Maine
Delaware,"(39.907793, -75.3878525)",Pennsylvania
Wayne,"(41.67388649999999, -75.2479061)",Pennsylvania
Montgomery,"(40.2290075, -75.3878525)",Pennsylvania
Monroe,"(41.0458376, -75.2479061)",Pennsylvania
Philadelphia,"(40.0152766, -75.1311874)",Pennsylvania
Bucks,"(40.4107964, -75.2479061)",Pennsylvania
Northampton,"(40.7749283, -75.294569)",Pennsylvania
Pike,"(41.3361875, -75.06111469999999)",Pennsylvania
Chester,"(40.0010204, -75.8069082)",Pennsylvania
Cumberland,"(40.1299841, -77.2405153)",Pennsylvania
Washington,"(40.1367719, -80.1875065)",Pennsylvania
Allegheny,"(40.4450813, -80.0087746)",Pennsylvania
Lehigh,"(40.6519679, -75.5742467)",Pennsylvania
Luzerne,"(41.1404353, -75.9927652)",Pennsylvania
Beaver,"(40.6367812, -80.365865)",Pennsylvania
Adams,"(39.8522417, -77.2864879)",Pennsylvania
Berks,"(40.3451566, -75.9927652)",Pennsylvania
Lackawanna,"(41.4421199, -75.5742467)",Pennsylvania
York,"(39.9512496, -76.7336521)",Pennsylvania
Lancaster,"(40.0466571, -76.17837390000001)",Pennsylvania
Lebanon,"(40.3666686, -76.5025742)",Pennsylvania
Westmoreland,"(40.2353963, -79.4703885)",Pennsylvania
Centre,"(40.8765649, -77.8367282)",Pennsylvania
Erie,"(42.0521954, -80.1875065)",Pennsylvania
Franklin,"(39.8923855, -77.6536125)",Pennsylvania
Potter,"(41.6682559, -77.8367282)",Pennsylvania
Butler,"(40.9115243, -79.8296743)",Pennsylvania
Montour,"(41.02623029999999, -76.6874701)",Pennsylvania
Columbia,"(41.0274439, -76.3637285)",Pennsylvania
Dauphin,"(40.2734277, -76.7336521)",Pennsylvania
Fayette,"(39.9272324, -79.6502105)",Pennsylvania
Mercer,"(41.2619821, -80.1875065)",Pennsylvania
Schuylkill,"(40.6873058, -76.17837390000001)",Pennsylvania
Cambria,"(40.4894231, -78.74762079999999)",Pennsylvania
Armstrong,"(40.8790518, -79.4703885)",Pennsylvania
Bradford,"(41.83625019999999, -76.5488232)",Pennsylvania
Carbon,"(40.901975, -75.667356)",Pennsylvania
Clearfield,"(40.9519685, -78.5660852)",Pennsylvania
Juniata,"(40.5521642, -77.4242972)",Pennsylvania
Somerset,"(40.022493, -78.9288242)",Pennsylvania
Greene,"(39.8113005, -80.1875065)",Pennsylvania
Lawrence,"(40.957855, -80.365865)",Pennsylvania
Lycoming,"(41.2720004, -77.10249019999999)",Pennsylvania
Warren,"(41.8143331, -79.29021329999999)",Pennsylvania
Blair,"(40.4531318, -78.3842227)",Pennsylvania
Crawford,"(41.6661391, -80.2767327)",Pennsylvania
Indiana,"(40.6850762, -79.1096901)",Pennsylvania
Susquehanna,"(41.745553, -75.8069082)",Pennsylvania
Northumberland,"(40.86743389999999, -76.6874701)",Pennsylvania
Cameron,"(41.4261564, -78.1564432)",Pennsylvania
Clarion,"(41.1982095, -79.4703885)",Pennsylvania
Huntingdon,"(40.4155273, -78.0195387)",Pennsylvania
McKean,"(41.8133351, -78.4751945)",Pennsylvania
Perry,"(40.371376, -77.2405153)",Pennsylvania
Snyder,"(40.750748, -77.0564464)",Pennsylvania
Tioga,"(41.76494659999999, -77.2864879)",Pennsylvania
Mifflin,"(40.652279, -77.6077865)",Pennsylvania
Venango,"(41.3896611, -79.8296743)",Pennsylvania
Union,"(40.9894888, -77.0564464)",Pennsylvania
Bedford,"(39.98695499999999, -78.5660852)",Pennsylvania
Forest,"(41.53410119999999, -79.24511489999999)",Pennsylvania
Clinton,"(41.3331937, -77.6536125)",Pennsylvania
Sullivan,"(41.4781004, -76.5025742)",Pennsylvania
Wyoming,"(41.5004703, -76.0391909)",Pennsylvania
Fulton,"(39.9048759, -78.1564432)",Pennsylvania
Elk,"(41.4284924, -78.5660852)",Pennsylvania
Jefferson,"(41.147013, -78.9288242)",Pennsylvania
New York City,"(40.7127753, -74.0059728)",New York
Westchester,"(41.1220194, -73.7948516)",New York
Nassau,"(40.6546145, -73.55941279999999)",New York
Rockland,"(41.1489458, -73.98300290000002)",New York
Saratoga,"(43.0324245, -73.93598209999999)",New York
Suffolk,"(40.9848784, -72.61511689999999)",New York
Ulster,"(41.8586493, -74.3118212)",New York
Monroe,"(43.2841246, -77.7452081)",New York
Albany,"(42.57567969999999, -73.93598209999999)",New York
Delaware,"(42.2452081, -74.8741045)",New York
Dutchess,"(41.7784372, -73.7477857)",New York
Herkimer,"(43.1630587, -74.8741045)",New York
Orange,"(41.3911653, -74.3118212)",New York
Schenectady,"(42.8493445, -73.98300290000002)",New York
Broome,"(42.1791865, -75.8533954)",New York
Tioga,"(42.1256317, -76.3637285)",New York
Tompkins,"(42.4575747, -76.5488232)",New York
Erie,"(42.9023958, -78.8661589)",New York
Greene,"(42.2957321, -74.12399599999999)",New York
Montgomery,"(42.915521, -74.4525627)",New York
Putnam,"(41.4351069, -73.7948516)",New York
Allegany,"(42.3129816, -78.0195387)",New York
Onondaga,"(43.026819, -76.17837390000001)",New York
Ontario,"(42.85098379999999, -77.2864879)",New York
Clinton,"(44.7904203, -73.6005824)",New York
Rensselaer,"(42.673664, -73.55941279999999)",New York
Sullivan,"(41.6897493, -74.7805192)",New York
Wyoming,"(42.64205200000001, -78.2020387)",New York
Chenango,"(42.4972314, -75.62080879999999)",New York
Essex,"(44.0107408, -73.9507728)",New York
Hamilton,"(43.4764406, -74.4056612)",New York
Jefferson,"(44.0607421, -75.9927652)",New York
Livingston,"(42.7576923, -77.8367282)",New York
Warren,"(43.6078891, -73.7477857)",New York
Washington,"(43.2519472, -73.37086959999999)",New York
Schoharie,"(42.65503349999999, -74.4994517)",New York
Wayne,"(43.2020024, -77.010385)",New York
Columbia,"(42.3678759, -73.55941279999999)",New York
Fulton,"(43.1118737, -74.4994517)",New York
Genesee,"(42.9837843, -78.1564432)",New York
Niagara,"(43.3119496, -78.74762079999999)",New York
Oneida,"(43.2371798, -75.4344727)",New York
Steuben,"(42.321027, -77.3783789)",New York
Cortland,"(42.5440918, -75.9927652)",New York
Madison,"(42.98059749999999, -75.8069082)",New York
St. Lawrence,"(44.4473142, -74.930206)",New York
Cayuga,"(42.7655231, -76.5488232)",New York
Oswego,"(43.482533, -76.17837390000001)",New York
Otsego,"(42.5779779, -75.06111469999999)",New York
Chemung,"(42.1362071, -76.7798172)",New York
Orleans,"(43.4088624, -78.2020387)",New York
Chautauqua,"(42.2312829, -79.560344)",New York
Franklin,"(44.5926135, -74.3387798)",New York
Cattaraugus,"(42.2318132, -78.74762079999999)",New York
Schuyler,"(42.3796425, -76.8720961)",New York
Lewis,"(43.840112, -75.4344727)",New York
Seneca,"(42.7651891, -76.8720961)",New York
Yates,"(42.64308459999999, -77.1485163)",New York
Fairfield,"(41.2559654, -73.37086959999999)",Connecticut
Litchfield,"(41.7866294, -73.2765361)",Connecticut
Hartford,"(41.7924343, -72.8042797)",Connecticut
New Haven,"(41.3266911, -72.8042797)",Connecticut
Middlesex,"(41.46985050000001, -72.4731529)",Connecticut
Tolland,"(41.8418987, -72.37846789999999)",Connecticut
Windham,"(41.8275622, -72.0468164)",Connecticut
New London,"(41.5185189, -72.0468164)",Connecticut
Montgomery,"(39.1547426, -77.2405153)",Maryland
Harford,"(39.5838964, -76.3637285)",Maryland
Prince George's,"(38.78492110000001, -76.8720961)",Maryland
Baltimore,"(39.4647665, -76.7336521)",Maryland
Anne Arundel,"(38.9530109, -76.5488232)",Maryland
Charles,"(38.5221781, -77.10249019999999)",Maryland
Carroll,"(39.5423418, -77.0564464)",Maryland
Baltimore city,"(39.2903848, -76.6121893)",Maryland
Howard,"(39.2873463, -76.964306)",Maryland
Frederick,"(39.3844507, -77.4701972)",Maryland
Talbot,"(38.7803973, -76.1319953)",Maryland
Calvert,"(38.49495030000001, -76.5025742)",Maryland
Wicomico,"(38.3941813, -75.667356)",Maryland
Worcester,"(38.1584227, -75.4344727)",Maryland
Caroline,"(38.9105018, -75.8533954)",Maryland
Somerset,"(38.0862333, -75.8533954)",Maryland
Washington,"(39.641762, -77.719993)",Maryland
Cecil,"(39.5739403, -75.94632399999999)",Maryland
St. Mary's,"(38.1060259, -76.3637285)",Maryland
Garrett,"(39.5681243, -79.29021329999999)",Maryland
Queen Anne's,"(39.0263572, -76.1319953)",Maryland
Kent,"(39.2713804, -76.1319953)",Maryland
Dorchester,"(38.4152819, -76.17837390000001)",Maryland
Allegany,"(39.6255251, -78.6114999)",Maryland
Grafton,"(43.9087929, -71.825994)",New Hampshire
Rockingham,"(42.9931261, -71.0497768)",New Hampshire
Hillsborough,"(42.83347939999999, -71.6673352)",New Hampshire
Carroll,"(43.8128209, -71.25060669999999)",New Hampshire
Belknap,"(43.5024246, -71.4073938)",New Hampshire
Merrimack,"(43.2844846, -71.6673352)",New Hampshire
Cheshire,"(42.9259375, -72.236379)",New Hampshire
Strafford,"(43.238329, -71.0236044)",New Hampshire
Sullivan,"(43.3770392, -72.236379)",New Hampshire
Coos,"(44.7288907, -71.27872669999999)",New Hampshire
Jefferson,"(34.227351, -91.9099238)",Arkansas
Pulaski,"(34.75386150000001, -92.2236667)",Arkansas
Garland,"(34.5559285, -93.17796589999999)",Arkansas
Saline,"(34.5708215, -92.539603)",Arkansas
Cleburne,"(35.4605769, -92.0665197)",Arkansas
Cleveland,"(33.86580070000001, -92.2236667)",Arkansas
Desha,"(33.8773585, -91.44346900000001)",Arkansas
Lincoln,"(33.9185116, -91.714958)",Arkansas
Bradley,"(33.5081368, -92.2236667)",Arkansas
Faulkner,"(35.1035858, -92.38136209999999)",Arkansas
Washington,"(35.9307703, -94.15137639999999)",Arkansas
Benton,"(36.2661518, -94.479976)",Arkansas
Boone,"(36.3118662, -93.0175712)",Arkansas
Clark,"(34.0232374, -93.17796589999999)",Arkansas
Craighead,"(35.8260959, -90.6773046)",Arkansas
Crittenden,"(35.3021443, -90.37483540000001)",Arkansas
Grant,"(34.2628015, -92.4208713)",Arkansas
Greene,"(36.1314931, -90.563609)",Arkansas
Independence,"(35.8174139, -91.5983959)",Arkansas
Poinsett,"(35.6078586, -90.6393702)",Arkansas
Polk,"(34.5268097, -94.15137639999999)",Arkansas
Pope,"(35.440627, -93.0175712)",Arkansas
Searcy,"(35.9721, -92.6983868)",Arkansas
Sebastian,"(35.2260397, -94.315422)",Arkansas
Sevier,"(34.0346222, -94.27436279999999)",Arkansas
Van Buren,"(35.6266232, -92.539603)",Arkansas
Columbia,"(33.1285176, -93.17796589999999)",Arkansas
Conway,"(35.2727492, -92.6983868)",Arkansas
Crawford,"(35.5762761, -94.315422)",Arkansas
Cross,"(35.2998913, -90.8294002)",Arkansas
Hot Spring,"(34.3393795, -92.97755579999999)",Arkansas
Lawrence,"(35.9969735, -91.13530200000001)",Arkansas
Pike,"(34.1876975, -93.66232389999999)",Arkansas
Stone,"(35.8075142, -92.2236667)",Arkansas
Union,"(33.1431092, -92.539603)",Arkansas
White,"(35.2900612, -91.7538817)",Arkansas
Woodruff,"(35.1215846, -91.13530200000001)",Arkansas
Drew,"(33.5156463, -91.7538817)",Arkansas
Chicot,"(33.3419551, -91.28910359999999)",Arkansas
Howard,"(34.1318213, -94.028678)",Arkansas
Lonoke,"(34.7591647, -91.9099238)",Arkansas
Randolph,"(36.3457918, -90.9820668)",Arkansas
Baxter,"(36.3261815, -92.38136209999999)",Arkansas
Johnson,"(35.6026275, -93.5003454)",Arkansas
Arkansas,"(34.2354138, -91.28910359999999)",Arkansas
Ashley,"(33.1565939, -91.7538817)",Arkansas
Hempstead,"(33.6530112, -93.66232389999999)",Arkansas
Nevada,"(33.6621386, -93.33889169999999)",Arkansas
Perry,"(34.96032, -92.8976254)",Arkansas
Newton,"(35.9603994, -93.17796589999999)",Arkansas
St. Francis,"(34.9926533, -90.7152749)",Arkansas
Miller,"(33.3335556, -93.86553029999999)",Arkansas
Scott,"(34.8854732, -93.9878427)",Arkansas
Carroll,"(36.2987495, -93.5003454)",Arkansas
Lee,"(34.7712669, -90.8294002)",Arkansas
Mississippi,"(35.8279728, -90.0746767)",Arkansas
Monroe,"(34.5918747, -91.13530200000001)",Arkansas
Ouachita,"(33.5828512, -92.9375739)",Arkansas
Sharp,"(36.16759740000001, -91.44346900000001)",Arkansas
Lafayette,"(33.2511695, -93.62178019999999)",Arkansas
Prairie,"(34.7636336, -91.5983959)",Arkansas
Dallas,"(34.0346533, -92.6983868)",Arkansas
Phillips,"(34.4611206, -90.86751339999999)",Arkansas
Yell,"(35.0810824, -93.33889169999999)",Arkansas
Clay,"(36.3492244, -90.37483540000001)",Arkansas
Franklin,"(35.5927966, -93.8248241)",Arkansas
Izard,"(36.1610924, -91.9099238)",Arkansas
Logan,"(35.2475011, -93.66232389999999)",Arkansas
Madison,"(35.9466415, -93.66232389999999)",Arkansas
Marion,"(36.3194702, -92.6983868)",Arkansas
Jackson,"(35.6479574, -91.13530200000001)",Arkansas
Fulton,"(36.3797374, -91.7928402)",Arkansas
Montgomery,"(34.5424074, -93.66232389999999)",Arkansas
Little River,"(33.6808926, -94.19234000000002)",Arkansas
Calhoun,"(33.5020885, -92.539603)",Arkansas
Fayette,"(38.06064780000001, -84.4802606)",Kentucky
Harrison,"(38.4333045, -84.3542049)",Kentucky
Jefferson,"(38.1938097, -85.64348700000001)",Kentucky
Montgomery,"(38.0314578, -83.8897057)",Kentucky
Bourbon,"(38.2170752, -84.2278796)",Kentucky
Nelson,"(37.7647455, -85.47880649999999)",Kentucky
Clark,"(37.959945, -84.14351359999999)",Kentucky
Lyon,"(37.0247261, -88.0900762)",Kentucky
Franklin,"(38.2481018, -84.8984775)",Kentucky
Kenton,"(38.9863872, -84.56414699999999)",Kentucky
Warren,"(36.9886043, -86.49965460000001)",Kentucky
Christian,"(36.8410586, -87.460397)",Kentucky
Daviess,"(37.7307984, -87.10237459999999)",Kentucky
Henderson,"(37.7415161, -87.5791287)",Kentucky
Pulaski,"(37.0853508, -84.5222189)",Kentucky
Scott,"(38.3172361, -84.56414699999999)",Kentucky
Calloway,"(36.6402766, -88.28504199999999)",Kentucky
Anderson,"(37.998648, -84.981754)",Kentucky
Madison,"(37.7143001, -84.3121264)",Kentucky
Spencer,"(38.0123167, -85.31362179999999)",Kentucky
Allen,"(36.7650471, -86.21584969999999)",Kentucky
Breathitt,"(37.5359616, -83.33618799999999)",Kentucky
Hardin,"(37.6565708, -86.0121573)",Kentucky
Jessamine,"(37.895573, -84.56414699999999)",Kentucky
Oldham,"(38.3560025, -85.47880649999999)",Kentucky
Logan,"(36.869834, -86.86218269999999)",Kentucky
Martin,"(37.7833756, -82.5185837)",Kentucky
McCracken,"(37.03306070000001, -88.7108964)",Kentucky
Menifee,"(37.9335368, -83.63484299999999)",Kentucky
Muhlenberg,"(37.17725009999999, -87.14228949999999)",Kentucky
Simpson,"(36.7772014, -86.6207943)",Kentucky
Grayson,"(37.4554962, -86.3782198)",Kentucky
Laurel,"(37.0693489, -84.1857115)",Kentucky
McCreary,"(36.6973499, -84.4802606)",Kentucky
Wayne,"(36.7571907, -84.8567932)",Kentucky
Boone,"(38.9940572, -84.7315563)",Kentucky
Hopkins,"(37.3153093, -87.5791287)",Kentucky
Mason,"(38.6194103, -83.8897057)",Kentucky
Mercer,"(37.8258603, -84.8984775)",Kentucky
Union,"(37.6638744, -87.97268100000001)",Kentucky
Webster,"(37.4892188, -87.7369607)",Kentucky
Bullitt,"(37.9842107, -85.684578)",Kentucky
Campbell,"(38.8951891, -84.3962535)",Kentucky
Larue,"(37.5189552, -85.7256372)",Kentucky
Woodford,"(38.0721662, -84.7315563)",Kentucky
Boyle,"(37.6526034, -84.8150781)",Kentucky
Bracken,"(38.7117016, -84.05902900000001)",Kentucky
Breckinridge,"(37.7982002, -86.4592091)",Kentucky
Butler,"(37.2086395, -86.7013894)",Kentucky
Carroll,"(38.6748355, -85.0649071)",Kentucky
Floyd,"(37.5455463, -82.7778579)",Kentucky
Grant,"(38.6565245, -84.6479124)",Kentucky
Nicholas,"(38.37676250000001, -84.05902900000001)",Kentucky
Shelby,"(38.1778076, -85.2308414)",Kentucky
Washington,"(37.7516142, -85.14793639999999)",Kentucky
Boyd,"(38.3833265, -82.6915429)",Kentucky
Lewis,"(38.5079686, -83.3789389)",Kentucky
Taylor,"(37.332884, -85.31362179999999)",Kentucky
Marion,"(37.585137, -85.2308414)",Kentucky
Marshall,"(36.8573767, -88.4016041)",Kentucky
Barren,"(36.9676836, -85.84862360000001)",Kentucky
Edmonson,"(37.1941682, -86.21584969999999)",Kentucky
Graves,"(36.6887728, -88.7108964)",Kentucky
Hancock,"(37.8280909, -86.761749)",Kentucky
Henry,"(38.4268385, -85.14793639999999)",Kentucky
Lawrence,"(38.05267500000001, -82.7778579)",Kentucky
Powell,"(37.8380647, -83.8260884)",Kentucky
Rockcastle,"(37.3743065, -84.3121264)",Kentucky
Russell,"(36.9806476, -85.0649071)",Kentucky
Bath,"(38.1068164, -83.7199136)",Kentucky
Crittenden,"(37.3673645, -88.0900762)",Kentucky
Cumberland,"(36.7776446, -85.35496499999999)",Kentucky
Lincoln,"(37.4751264, -84.6479124)",Kentucky
Meade,"(37.9601502, -86.21584969999999)",Kentucky
Pendleton,"(38.7283386, -84.3962535)",Kentucky
Caldwell,"(37.1501019, -87.89424509999999)",Kentucky
Clinton,"(36.7263899, -85.14793639999999)",Kentucky
Ohio,"(37.5108523, -86.8220341)",Kentucky
Perry,"(37.3160706, -83.2077645)",Kentucky
Adair,"(37.076403, -85.31362179999999)",Kentucky
Carter,"(38.3204714, -83.03613759999999)",Kentucky
Greenup,"(38.5665695, -82.95015579999999)",Kentucky
Johnson,"(37.8048335, -82.8640623)",Kentucky
Leslie,"(37.0698286, -83.3789389)",Kentucky
Letcher,"(37.12535099999999, -82.8640623)",Kentucky
McLean,"(37.5644352, -87.2618328)",Kentucky
Monroe,"(36.7484915, -85.7256372)",Kentucky
Pike,"(37.4842087, -82.4752757)",Kentucky
Green,"(37.2570117, -85.56121)",Kentucky
Hart,"(37.3101304, -85.84862360000001)",Kentucky
Todd,"(36.8338638, -87.14228949999999)",Kentucky
Ballard,"(37.0359869, -89.0179332)",Kentucky
Jackson,"(37.4023274, -84.01674229999999)",Kentucky
Whitley,"(36.726335, -84.1857115)",Kentucky
Knox,"(36.9260578, -83.8897057)",Kentucky
Trimble,"(38.6013284, -85.31362179999999)",Kentucky
Fleming,"(38.3987633, -83.67739279999999)",Kentucky
Gallatin,"(38.7295069, -84.87763919999999)",Kentucky
Knott,"(37.3461117, -82.99316069999999)",Kentucky
Rowan,"(38.177068, -83.46435509999999)",Kentucky
Morgan,"(37.9145713, -83.2934086)",Kentucky
Owsley,"(37.4294933, -83.7199136)",Kentucky
Trigg,"(36.8473642, -87.77633329999999)",Kentucky
Casey,"(37.3157449, -84.8984775)",Kentucky
Garrard,"(37.6413234, -84.56414699999999)",Kentucky
Livingston,"(37.2431347, -88.362785)",Kentucky
Clay,"(37.1738044, -83.7199136)",Kentucky
Fulton,"(36.5630482, -89.1324866)",Kentucky
Hickman,"(36.6482184, -88.9796776)",Kentucky
Carlisle,"(36.8206685, -88.9796776)",Kentucky
Metcalfe,"(37.0032438, -85.64348700000001)",Kentucky
Owen,"(38.4965261, -84.8150781)",Kentucky
Harlan,"(36.8890304, -83.2077645)",Kentucky
Magoffin,"(37.730555, -83.03613759999999)",Kentucky
Bell,"(36.741122, -83.63484299999999)",Kentucky
Wolfe,"(37.75508689999999, -83.46435509999999)",Kentucky
Elliott,"(38.1575088, -83.12200740000002)",Kentucky
Lee,"(37.599443, -83.7199136)",Kentucky
Estill,"(37.6975384, -83.9744262)",Kentucky
Robertson,"(38.5224338, -84.0378894)",Kentucky
Cook,"(41.7376587, -87.697554)",Illinois
Kane,"(41.987884, -88.4016041)",Illinois
McHenry,"(42.3039993, -88.4016041)",Illinois
Lake,"(42.3689363, -87.8271534)",Illinois
Cumberland,"(39.2653533, -88.2071598)",Illinois
DuPage,"(41.8243831, -88.0900762)",Illinois
Sangamon,"(39.7337353, -89.62516459999999)",Illinois
St. Clair,"(38.40081199999999, -89.9253233)",Illinois
Woodford,"(40.7128889, -89.1705998)",Illinois
Clinton,"(38.56844419999999, -89.62516459999999)",Illinois
Whiteside,"(41.7605503, -89.8505012)",Illinois
Winnebago,"(42.3121109, -89.1705998)",Illinois
Peoria,"(40.7156396, -89.77553379999999)",Illinois
Will,"(41.5054724, -88.0900762)",Illinois
Jackson,"(37.7218304, -89.3226954)",Illinois
Kankakee,"(41.1790977, -87.77633329999999)",Illinois
Kendall,"(41.5507043, -88.4403883)",Illinois
LaSalle,"(41.4363987, -88.94138650000001)",Illinois
Madison,"(38.9041402, -89.9253233)",Illinois
Washington,"(38.3988869, -89.3226954)",Illinois
Williamson,"(37.7183241, -88.86469799999999)",Illinois
Adams,"(40.0577692, -91.13530200000001)",Illinois
Christian,"(39.5672183, -89.3226954)",Illinois
McLean,"(40.5478429, -88.86469799999999)",Illinois
DeKalb,"(41.8329981, -88.7108964)",Illinois
Champaign,"(40.2138865, -88.24611829999999)",Illinois
Jo Daviess,"(42.3148804, -90.2244662)",Illinois
Livingston,"(40.8688604, -88.55653099999999)",Illinois
Rock Island,"(41.39982089999999, -90.563609)",Illinois
Stephenson,"(42.31448899999999, -89.62516459999999)",Illinois
Monroe,"(38.2742526, -90.1869644)",Illinois
Grundy,"(41.3500531, -88.4016041)",Illinois
Douglas,"(39.7617631, -88.2071598)",Illinois
Marshall,"(40.9972934, -89.3606298)",Illinois
Morgan,"(39.7341219, -90.2244662)",Illinois
Franklin,"(38.0157197, -88.90306)",Illinois
Tazewell,"(40.5522078, -89.4742177)",Illinois
Bureau,"(41.35991560000001, -89.4742177)",Illinois
Henry,"(41.361088, -90.0746767)",Illinois
Iroquois,"(40.7740275, -87.697554)",Illinois
Carroll,"(42.0385843, -89.9626799)",Illinois
Fayette,"(39.0669568, -89.0179332)",Illinois
Macon,"(39.8949055, -89.0179332)",Illinois
Bond,"(38.902985, -89.4742177)",Illinois
Knox,"(40.8776411, -90.2244662)",Illinois
Menard,"(40.0221361, -89.81303559999999)",Illinois
Montgomery,"(39.2363688, -89.4742177)",Illinois
Clark,"(39.3824189, -87.77633329999999)",Illinois
Crawford,"(39.0499568, -87.77633329999999)",Illinois
Marion,"(38.7313284, -88.86469799999999)",Illinois
Randolph,"(38.0629321, -89.77553379999999)",Illinois
Saline,"(37.7149675, -88.55653099999999)",Illinois
Ford,"(40.4988592, -88.2071598)",Illinois
Ogle,"(41.9969811, -89.3226954)",Illinois
Massac,"(37.2478298, -88.7493998)",Illinois
Vermilion,"(40.122469, -87.697554)",Illinois
Logan,"(40.061338, -89.3226954)",Illinois
Macoupin,"(39.2375268, -89.9253233)",Illinois
Mercer,"(41.1985037, -90.6773046)",Illinois
Moultrie,"(39.6020543, -88.59517509999999)",Illinois
Piatt,"(40.0543526, -88.55653099999999)",Illinois
De Witt,"(40.1810363, -88.90306)",Illinois
Effingham,"(39.06217729999999, -88.55653099999999)",Illinois
Jersey,"(39.0704754, -90.37483540000001)",Illinois
Jasper,"(39.0554965, -88.0900762)",Illinois
Lee,"(41.6789842, -89.3226954)",Illinois
Mason,"(40.2271003, -89.9253233)",Illinois
Pike,"(39.5662363, -90.8294002)",Illinois
Boone,"(42.34849759999999, -88.8263006)",Illinois
Calhoun,"(39.1733216, -90.658333)",Illinois
Gallatin,"(37.7107751, -88.24611829999999)",Illinois
Jefferson,"(38.2267348, -88.86469799999999)",Illinois
Wabash,"(38.4226484, -87.8156715)",Illinois
Coles,"(39.5560011, -88.24611829999999)",Illinois
Lawrence,"(38.7157534, -87.77633329999999)",Illinois
Richland,"(38.7212791, -88.0900762)",Illinois
Shelby,"(39.3980704, -88.86469799999999)",Illinois
Hancock,"(40.38493649999999, -91.13530200000001)",Illinois
Stark,"(41.0795661, -89.81303559999999)",Illinois
Pulaski,"(37.2512419, -89.1324866)",Illinois
Schuyler,"(40.1844543, -90.6393702)",Illinois
Fulton,"(40.5531823, -90.2244662)",Illinois
Greene,"(39.4029862, -90.37483540000001)",Illinois
McDonough,"(40.3885122, -90.6773046)",Illinois
Perry,"(38.0612022, -89.3226954)",Illinois
Warren,"(40.8758777, -90.6773046)",Illinois
Johnson,"(37.42037639999999, -88.90306)",Illinois
Clay,"(38.7279431, -88.55653099999999)",Illinois
Union,"(37.5086525, -89.28472510000002)",Illinois
Alexander,"(37.1670164, -89.3606298)",Illinois
Henderson,"(40.83355479999999, -90.9438468)",Illinois
Wayne,"(38.3899815, -88.4016041)",Illinois
Hamilton,"(38.0543187, -88.55653099999999)",Illinois
Cass,"(39.9398601, -90.26200419999999)",Illinois
White,"(38.0501137, -88.24611829999999)",Illinois
Hardin,"(37.4995097, -88.362785)",Illinois
Brown,"(39.9379573, -90.7152749)",Illinois
Pope,"(37.417132, -88.59517509999999)",Illinois
Edwards,"(38.4267827, -88.050979)",Illinois
Putnam,"(41.238474, -89.28472510000002)",Illinois
Edgar,"(39.71312229999999, -87.77633329999999)",Illinois
Scott,"(39.6094934, -90.4879916)",Illinois
Marion,"(39.83618999999999, -86.17517590000001)",Indiana
Hendricks,"(39.8064942, -86.5400674)",Indiana
Noble,"(41.4277391, -85.35496499999999)",Indiana
Adams,"(40.7249237, -84.8984775)",Indiana
Boone,"(40.0106163, -86.49965460000001)",Indiana
Howard,"(40.4482767, -86.1344697)",Indiana
Johnson,"(39.4637793, -86.1344697)",Indiana
St. Joseph,"(41.6228085, -86.3376761)",Indiana
LaPorte,"(41.4775131, -86.8220341)",Indiana
